play_id,qtr,time,posteam,defteam,down,ydstogo,yardline_100,score_differential,play_type,desc,epa,wpa,wp
4231,4,02:21,NE,SEA,,0,2,-16,pass,TWO-POINT CONVERSION ATTEMPT. 10-D.Maye pass to 85-H.Henry is incomplete. ATTEMPT FAILS. SEA-8-C.Bryant was injured during the play.,-0.947,-0.00026,0.0012
4244,4,02:21,SEA,NE,,0,35,16,kickoff,36-A.Borregales kicks onside 11 yards from NE 35 to NE 46. 36-G.Holani (didn't try to advance) to NE 46 for no gain.,1.6347,0.0002,0.9991
4280,4,02:20,SEA,NE,1,10,46,16,run,(2:20) 9-K.Walker right end to NE 43 for 3 yards (33-A.Jennings).,-0.9518,-9e-05,0.9993
4302,4,02:14,SEA,NE,2,7,43,16,run,(2:14) 55-O.Oluwatimi and 74-J.Jones reported in as eligible. 14-S.Darnold right tackle to NE 49 for -6 yards (97-M.Williams).,-1.5226,-0.00061,0.9992
4376,4,02:01,SEA,NE,3,23,59,16,run,(2:01) 55-O.Oluwatimi and 74-J.Jones reported in as eligible. 9-K.Walker right guard to SEA 42 for 1 yard (33-A.Jennings; 95-K.Tonga).,-0.457,-5e-05,0.9984
4403,4,01:57,SEA,NE,4,22,58,16,punt,"(1:57) 4-M.Dickson punts 52 yards to NE 6, Center-41-C.Stoll, out of bounds.",-0.0923,0.00071,0.9984
4434,4,01:49,NE,SEA,1,10,94,-16,pass,(1:49) (Shotgun) 10-D.Maye pass short middle to 8-S.Diggs to NE 12 for 6 yards (13-E.Jones). ** Injury Update: SEA-8-C.Bryant has returned to the game.,-0.0467,-0.00026,0.0009
4459,4,01:30,NE,SEA,2,4,88,-16,pass,"(1:30) (No Huddle, Shotgun) 10-D.Maye pass short left to 81-A.Hooper to NE 17 for 5 yards (3-N.Emmanwori).",0.0668,0.00024,0.0007
4484,4,01:12,NE,SEA,1,10,83,-16,pass,"(1:12) (No Huddle, Shotgun) 10-D.Maye pass short left to 13-M.Hollins to NE 28 for 11 yards (27-T.Woolen).",0.1376,7e-05,0.0009
4578,4,00:39,NE,SEA,1,10,62,-16,pass,"(:39) (No Huddle, Shotgun) 10-D.Maye pass short middle to 3-D.Douglas to NE 47 for 9 yards (13-E.Jones).",0.0738,2e-05,0.0008
4603,4,00:20,NE,SEA,2,1,53,-16,pass,"(:20) (No Huddle, Shotgun) 10-D.Maye pass incomplete deep right to 9-K.Boutte.",-0.2421,1e-05,0.0008
4626,4,00:12,NE,SEA,3,1,53,-16,pass,"(:12) (No Huddle, Shotgun) 10-D.Maye pass short right to 32-T.Henderson to SEA 29 for 24 yards (20-J.Love).",-0.3331,-0.00086,0.0009
